SN,Found
SN2001ah,True
SN2001ay,True
SN2001az,True
SN2001eh,True
SN2002bf,True
SN2002he,True
SN2002hu,True
SN2003U,True
SN2003ch,True
SN2003fa,True
SN2003ic,True
SN2003it,True
SN2003iv,True
SN2004L,True
SN2004as,True
SN2004ef,True
SN2004gc,True
SN2004gs,True
SN2004gu,True
SN2005M,True
SN2005eq,True
SN2005eu,True
SN2005hc,True
SN2005hj,True
SN2005iq,True
SN2005ir,True
SN2005ku,True
SN2005lz,True
SN2005ms,True
SN2005na,True
SN2006S,True
SN2006al,True
SN2006az,True
SN2006cf,True
SN2006cq,True
SN2006en,True
SN2006ev,True
SN2006gr,True
SN2006lu,True
SN2006mo,True
SN2006oa,True
SN2006ob,True
SN2006on,True
SN2006py,True
SN2006qo,True
SN2006te,True
SN2007O,True
SN2007R,True
SN2007ae,True
SN2007bd,True
SN2007co,True
SN2007cq,True
SN2007hu,True
SN2007is,True
SN2007jg,True
SN2007kk,True
SN2007nq,True
SN2007ob,True
SN2007sw,True
SN2007ux,True
SN2008050,True
SN2008051,True
SN2008ar,True
SN2008bz,True
SN2008cf,True
SN2008fr,True
SN2008gb,True
SN2008gl,True
SN2008gp,True
SN2008hj,True
SN2009ad,True
SN2009bv,True
SN2009do,True
SN2010ag,True
SN2010dt,True
SN2010dw,True
SN2016afk,True
SNASASSN-15bc,True
SNASASSN-15fa,True
SNASASSN-15hg,True
SNASASSN-15jl,True
SNASASSN-15lu,True
SNASASSN-15mf,True
SNASASSN-15mg,True
SNASASSN-15np,True
SNASASSN-15nq,True
SNASASSN-15pm,True
SNASASSN-15pn,True
SNASASSN-15pr,True
SNASASSN-15ss,True
SNASASSN-15tg,True
SNASASSN-16aj,True
SNASASSN-16ay,True
SNASASSN-16bc,True
SNASASSN-16bq,True
SNASASSN-16br,True
SNASASSN-16ct,True
SNASASSN-16db,True
SNASASSN-16dw,True
SNASASSN-16fo,True
SNASASSN-16fs,True
SNASASSN-16hc,True
SNASASSN-16hr,True
SNASASSN-16oz,True
SNASASSN-17at,True
SNASASSN-17eb,True
SNAT2016aj,True
SNAT2016cor,True
SNAT2016cvv,True
SNAT2016cvw,True
SNAT2016cyt,True
SNAT2016ews,True
SNAT2016gmg,True
SNAT2016gsu,True
SNAT2016hns,True
SNAT2016htm,True
SNAT2016htn,True
SNAT2017cfc,True
SNAT2017lm,True
SNAT2017ns,True
SNAT2017oz,True
SNAT2017po,True
SNAT2017wb,True
SNAT2017yk,True
SNAT2017zd,True
SNATLAS16agv,True
SNATLAS16bwu,True
SNATLAS17ajn,True
SNATLAS17ajs,True
SNATLAS17axb,True
SNCSS160129,True
SNCSS160428,True
SNGaia16acv,True
SNGaia16agf,True
SNGaia16aki,True
SNGaia16bba,True
SNMASTERJ0134,True
SNPS15ahs,True
SNPS15aii,True
SNPS15asb,True
SNPS15atx,True
SNPS15bdr,True
SNPS15bif,True
SNPS15bjg,True
SNPS15brr,True
SNPS15bsq,True
SNPS15bwh,True
SNPS15bzz,True
SNPS15cms,True
SNPS15cwx,True
SNPS15cze,True
SNPS15mt,True
SNPS16aer,True
SNPS16axi,True
SNPS16ayd,True
SNPS16bby,True
SNPS16bnz,True
SNPS16cqa,True
SNPS16cvc,True
SNPS16dnp,True
SNPS16el,True
SNPS16em,True
SNPS16evk,True
SNPS16fa,True
SNPS16fbb,True
SNPS16n,True
SNPS17akj,True
SNPS17bii,True
SNPS17tn,True
SNPS17yt,True
SNPSNJ0153424,True
SNPSNJ0859349,True
SNPSNJ1204051,True
SNPSNJ2352371,True
SNPTSS17-niq,True
SNSN2016aqb,True
SNSN2016ayg,True
SNSN2016esh,True
SNSN2016glp,True
SNSN2016glz,True
SNSN2016gmb,True
SNSN2016grz,True
SNSN2016hhv,True
SNSN2016hpx,True
SNSN2016ixf,True
SNSN2017cii,True
SNSN2017cjv,True
SNSN2017ckx,True
SNSN2017coa,True
SNSN2017cpu,True
SNSN2017hn,True
SNSN2017mf,True
SNSN2017ms,True
SNiPTF17dz,True
SNnan,True
